"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_set_library","Regulation"
"GO:1902857","positive regulation of non-motile cilium assembly","1/8","10/21261",0.004,0.033,0.014,"RP1",1,"Biological Process","Upregulated"
"GO:0015820","leucine transport","1/8","11/21261",0.004,0.033,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0046549","retinal cone cell development","1/8","11/21261",0.004,0.033,0.014,"RP1",1,"Biological Process","Upregulated"
"GO:0070837","dehydroascorbic acid transport","1/8","11/21261",0.004,0.033,0.014,"SLC2A1",1,"Biological Process","Upregulated"
"GO:0031669","cellular response to nutrient levels","2/8","270/21261",0.004,0.033,0.014,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0015801","aromatic amino acid transport","1/8","12/21261",0.005,0.033,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0070327","thyroid hormone transport","1/8","12/21261",0.005,0.033,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0000101","sulfur amino acid transport","1/8","13/21261",0.005,0.033,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0010524","positive regulation of calcium ion transport into cytosol","1/8","13/21261",0.005,0.033,0.014,"TRPC3",1,"Biological Process","Upregulated"
"GO:0014744","positive regulation of muscle adaptation","1/8","13/21261",0.005,0.033,0.014,"TRPC3",1,"Biological Process","Upregulated"
"GO:0015824","proline transport","1/8","13/21261",0.005,0.033,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0042670","retinal cone cell differentiation","1/8","13/21261",0.005,0.033,0.014,"RP1",1,"Biological Process","Upregulated"
"GO:1902855","regulation of non-motile cilium assembly","1/8","13/21261",0.005,0.033,0.014,"RP1",1,"Biological Process","Upregulated"
"GO:0003018","vascular process in circulatory system","2/8","296/21261",0.005,0.034,0.014,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0031668","cellular response to extracellular stimulus","2/8","302/21261",0.005,0.034,0.014,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0015803","branched-chain amino acid transport","1/8","15/21261",0.006,0.034,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0034392","negative regulation of smooth muscle cell apoptotic process","1/8","15/21261",0.006,0.034,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:2000288","positive regulation of myoblast proliferation","1/8","15/21261",0.006,0.034,0.014,"FGFBP1",1,"Biological Process","Upregulated"
"GO:0060221","retinal rod cell differentiation","1/8","16/21261",0.006,0.034,0.014,"RP1",1,"Biological Process","Upregulated"
"GO:0010612","regulation of cardiac muscle adaptation","1/8","17/21261",0.006,0.034,0.014,"TRPC3",1,"Biological Process","Upregulated"
"GO:0044539","long-chain fatty acid import into cell","1/8","17/21261",0.006,0.034,0.014,"SLC2A1",1,"Biological Process","Upregulated"
"GO:1903242","regulation of cardiac muscle hypertrophy in response to stress","1/8","17/21261",0.006,0.034,0.014,"TRPC3",1,"Biological Process","Upregulated"
"GO:0006874","intracellular calcium ion homeostasis","2/8","332/21261",0.006,0.034,0.014,"CNGB1/TRPC3",2,"Biological Process","Upregulated"
"GO:0010522","regulation of calcium ion transport into cytosol","1/8","18/21261",0.007,0.034,0.014,"TRPC3",1,"Biological Process","Upregulated"
"GO:0032328","alanine transport","1/8","18/21261",0.007,0.034,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:1905288","vascular associated smooth muscle cell apoptotic process","1/8","18/21261",0.007,0.034,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:1905459","regulation of vascular associated smooth muscle cell apoptotic process","1/8","18/21261",0.007,0.034,0.014,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0071214","cellular response to abiotic stimulus","2/8","351/21261",0.007,0.035,0.015,"RP1/SLC2A1",2,"Biological Process","Upregulated"
"GO:0104004","cellular response to environmental stimulus","2/8","351/21261",0.007,0.035,0.015,"RP1/SLC2A1",2,"Biological Process","Upregulated"
"GO:0055074","calcium ion homeostasis","2/8","358/21261",0.007,0.035,0.015,"CNGB1/TRPC3",2,"Biological Process","Upregulated"
"GO:0055093","response to hyperoxia","1/8","20/21261",0.008,0.035,0.015,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0071474","cellular hyperosmotic response","1/8","20/21261",0.008,0.035,0.015,"SLC2A1",1,"Biological Process","Upregulated"
"GO:0071496","cellular response to external stimulus","2/8","369/21261",0.008,0.035,0.015,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0140354","lipid import into cell","1/8","21/21261",0.008,0.035,0.015,"SLC2A1",1,"Biological Process","Upregulated"
"GO:1902001","fatty acid transmembrane transport","1/8","21/21261",0.008,0.035,0.015,"SLC2A1",1,"Biological Process","Upregulated"
"GO:0070482","response to oxygen levels","2/8","375/21261",0.008,0.035,0.015,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0015802","basic amino acid transport","1/8","22/21261",0.008,0.035,0.015,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0046942","carboxylic acid transport","2/8","383/21261",0.008,0.035,0.015,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0015849","organic acid transport","2/8","384/21261",0.008,0.035,0.015,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0007603","phototransduction, visible light","1/8","23/21261",0.009,0.035,0.015,"RP1",1,"Biological Process","Upregulated"
"GO:0010958","regulation of amino acid import across plasma membrane","1/8","24/21261",0.009,0.035,0.015,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0050908","detection of light stimulus involved in visual perception","1/8","24/21261",0.009,0.035,0.015,"CNGB1",1,"Biological Process","Upregulated"
"GO:0050962","detection of light stimulus involved in sensory perception","1/8","24/21261",0.009,0.035,0.015,"CNGB1",1,"Biological Process","Upregulated"
"GO:1903589","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","1/8","24/21261",0.009,0.035,0.015,"FGFBP1",1,"Biological Process","Upregulated"
"GO:1903789","regulation of amino acid transmembrane transport","1/8","24/21261",0.009,0.035,0.015,"SLC7A5",1,"Biological Process","Upregulated"
"GO:2000291","regulation of myoblast proliferation","1/8","26/21261",0.01,0.037,0.016,"FGFBP1",1,"Biological Process","Upregulated"
"GO:0006972","hyperosmotic response","1/8","27/21261",0.01,0.037,0.016,"SLC2A1",1,"Biological Process","Upregulated"
"GO:0032740","positive regulation of interleukin-17 production","1/8","27/21261",0.01,0.037,0.016,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0036296","response to increased oxygen levels","1/8","27/21261",0.01,0.037,0.016,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0014850","response to muscle activity","1/8","29/21261",0.011,0.039,0.016,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0060402","calcium ion transport into cytosol","1/8","29/21261",0.011,0.039,0.016,"TRPC3",1,"Biological Process","Upregulated"
"GO:0045724","positive regulation of cilium assembly","1/8","30/21261",0.011,0.039,0.016,"RP1",1,"Biological Process","Upregulated"
"GO:0051957","positive regulation of amino acid transport","1/8","30/21261",0.011,0.039,0.016,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0003299","muscle hypertrophy in response to stress","1/8","31/21261",0.012,0.039,0.016,"TRPC3",1,"Biological Process","Upregulated"
"GO:0014887","cardiac muscle adaptation","1/8","31/21261",0.012,0.039,0.016,"TRPC3",1,"Biological Process","Upregulated"
"GO:0014898","cardiac muscle hypertrophy in response to stress","1/8","31/21261",0.012,0.039,0.016,"TRPC3",1,"Biological Process","Upregulated"
"GO:0060219","camera-type eye photoreceptor cell differentiation","1/8","32/21261",0.012,0.04,0.017,"RP1",1,"Biological Process","Upregulated"
"GO:0032753","positive regulation of interleukin-4 production","1/8","33/21261",0.012,0.04,0.017,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0034391","regulation of smooth muscle cell apoptotic process","1/8","33/21261",0.012,0.04,0.017,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0033198","response to ATP","1/8","34/21261",0.013,0.041,0.017,"TRPC3",1,"Biological Process","Upregulated"
"GO:0034390","smooth muscle cell apoptotic process","1/8","34/21261",0.013,0.041,0.017,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0042391","regulation of membrane potential","2/8","479/21261",0.013,0.041,0.017,"CNGB1/POPDC3",2,"Biological Process","Upregulated"
"GO:0015711","organic anion transport","2/8","488/21261",0.013,0.041,0.017,"SLC7A5/SLC2A1",2,"Biological Process","Upregulated"
"GO:0010613","positive regulation of cardiac muscle hypertrophy","1/8","36/21261",0.013,0.041,0.017,"TRPC3",1,"Biological Process","Upregulated"
"GO:0051450","myoblast proliferation","1/8","36/21261",0.013,0.041,0.017,"FGFBP1",1,"Biological Process","Upregulated"
"GO:0060252","positive regulation of glial cell proliferation","1/8","36/21261",0.013,0.041,0.017,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0014742","positive regulation of muscle hypertrophy","1/8","37/21261",0.014,0.041,0.017,"TRPC3",1,"Biological Process","Upregulated"
"GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","1/8","38/21261",0.014,0.042,0.017,"FGFBP1",1,"Biological Process","Upregulated"
"GO:0097421","liver regeneration","1/8","38/21261",0.014,0.042,0.017,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","1/8","41/21261",0.015,0.044,0.019,"FGFBP1",1,"Biological Process","Upregulated"
"GO:0042462","eye photoreceptor cell development","1/8","44/21261",0.016,0.047,0.02,"RP1",1,"Biological Process","Upregulated"
"GO:0032633","interleukin-4 production","1/8","46/21261",0.017,0.048,0.02,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0032673","regulation of interleukin-4 production","1/8","46/21261",0.017,0.048,0.02,"SLC7A5",1,"Biological Process","Upregulated"
"GO:0051954","positive regulation of amine transport","1/8","48/21261",0.018,0.05,0.021,"SLC7A5",1,"Biological Process","Upregulated"
